                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     67,                 2.9784,                 2.3961,                  3.172,                 0.0135,                0.06897,                0.02083,                0.00361,                 5.0538,                 3.2126,                 4.3183,              0.0013466,              0.0013466,              0.0013466
                     68,                 2.9355,                 2.3772,                 3.1955,                  0.005,                0.10345,                0.03792,                0.00839,                 5.1474,                 3.2595,                 4.4464,              0.0013367,              0.0013367,              0.0013367
                     69,                 3.0469,                 2.2759,                  3.177,                  0.005,                0.10345,                0.03792,                0.00839,                 5.1474,                 3.2595,                 4.4464,              0.0013268,              0.0013268,              0.0013268
                     70,                  2.903,                 2.3304,                 3.1513,                0.00667,                0.13793,                0.03931,                0.01244,                  4.904,                 3.1719,                 4.1898,              0.0013169,              0.0013169,              0.0013169
                     71,                 3.3364,                 2.3468,                 3.2445,                0.00667,                0.13793,                0.03931,                0.01244,                  4.904,                 3.1719,                 4.1898,               0.001307,               0.001307,               0.001307
                     72,                 3.0037,                 2.2943,                 3.1754,                   0.01,                 0.2069,                0.02989,                0.00825,                 4.2283,                 2.9129,                 3.7356,              0.0012971,              0.0012971,              0.0012971
                     73,                 2.8911,                 2.3628,                 3.1364,                   0.01,                 0.2069,                0.02989,                0.00825,                 4.2283,                 2.9129,                 3.7356,              0.0012872,              0.0012872,              0.0012872
                     74,                 3.0328,                 2.2909,                 3.1094,                   0.01,                 0.2069,                0.07263,                0.02574,                 4.0758,                 2.9352,                 3.5534,              0.0012773,              0.0012773,              0.0012773
                     75,                 3.0339,                 2.2611,                 3.1425,                   0.01,                 0.2069,                0.07263,                0.02574,                 4.0758,                 2.9352,                 3.5534,              0.0012674,              0.0012674,              0.0012674
                     76,                 2.9485,                  2.386,                 3.1398,                   0.01,                 0.2069,                0.04202,                0.01812,                 4.0949,                 3.1478,                 3.6414,              0.0012575,              0.0012575,              0.0012575
                     77,                 2.9558,                 2.3788,                 3.1241,                   0.01,                 0.2069,                0.04202,                0.01812,                 4.0949,                 3.1478,                 3.6414,              0.0012476,              0.0012476,              0.0012476
                     78,                 3.0867,                 2.2193,                 3.1516,                0.02744,                 0.2069,                 0.0454,                0.01838,                 4.0069,                 3.1759,                 3.4711,              0.0012377,              0.0012377,              0.0012377
                     79,                 2.9787,                 2.4322,                 3.1913,                0.02744,                 0.2069,                 0.0454,                0.01838,                 4.0069,                 3.1759,                 3.4711,              0.0012278,              0.0012278,              0.0012278
                     80,                 2.9918,                  2.362,                 3.1189,                0.01719,                0.24138,                0.03202,                0.01312,                 3.8346,                 3.0099,                 3.2595,              0.0012179,              0.0012179,              0.0012179
                     81,                 2.8683,                 2.4082,                 3.1044,                0.01719,                0.24138,                0.03202,                0.01312,                 3.8346,                 3.0099,                 3.2595,               0.001208,               0.001208,               0.001208
                     82,                  2.857,                 2.2119,                 3.0754,                0.01831,                0.24138,                0.02535,                0.01116,                 3.6957,                 2.8138,                   3.16,              0.0011981,              0.0011981,              0.0011981
                     83,                 2.8813,                 2.3396,                 3.1083,                0.01831,                0.24138,                0.02535,                0.01116,                 3.6957,                 2.8138,                   3.16,              0.0011882,              0.0011882,              0.0011882
                     84,                 3.0795,                 2.2356,                 3.0925,                0.01743,                0.24138,                0.02473,                0.01112,                 3.9719,                 2.7803,                 3.3091,              0.0011783,              0.0011783,              0.0011783
