                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     65,                 1.3033,                0.76225,                 1.3494,                0.90332,                0.87293,                0.90775,                   0.52,                 1.4178,                0.71393,                 1.4653,              0.0007328,              0.0007328,              0.0007328
                     66,                 1.2927,                0.75923,                 1.3473,                 0.9014,                0.86678,                0.90862,                0.51626,                 1.4117,                0.71299,                 1.4651,               0.000713,               0.000713,               0.000713
                     67,                  1.283,                0.75052,                 1.3422,                0.90189,                0.87471,                0.90815,                0.51949,                 1.4201,                 0.7168,                 1.4813,              0.0006932,              0.0006932,              0.0006932
                     68,                  1.286,                0.75878,                 1.3473,                0.89282,                 0.8695,                0.90337,                0.51749,                 1.4139,                0.71276,                   1.47,              0.0006734,              0.0006734,              0.0006734
                     69,                 1.2819,                0.74702,                 1.3411,                  0.905,                0.86252,                0.90923,                0.51807,                 1.4059,                0.70812,                 1.4608,              0.0006536,              0.0006536,              0.0006536
                     70,                 1.2786,                0.74874,                 1.3364,                0.91117,                 0.8639,                 0.9108,                0.52181,                 1.4091,                 0.6997,                 1.4645,              0.0006338,              0.0006338,              0.0006338
                     71,                 1.2779,                0.74367,                 1.3299,                0.89993,                0.86967,                0.90745,                0.52153,                 1.4189,                0.70449,                 1.4674,               0.000614,               0.000614,               0.000614
                     72,                 1.2707,                0.74292,                 1.3305,                0.90224,                0.86909,                0.91178,                0.52116,                 1.4269,                0.70684,                 1.4802,              0.0005942,              0.0005942,              0.0005942
                     73,                 1.2684,                0.73716,                 1.3253,                0.90232,                0.87255,                0.91326,                0.52055,                 1.4167,                 0.6947,                 1.4745,              0.0005744,              0.0005744,              0.0005744
                     74,                 1.2607,                0.72794,                  1.325,                0.89719,                 0.8812,                0.91418,                0.52216,                 1.4173,                 0.6914,                 1.4761,              0.0005546,              0.0005546,              0.0005546
                     75,                 1.2592,                0.72991,                 1.3204,                0.90357,                0.87428,                0.91182,                0.52141,                 1.4106,                 0.6902,                 1.4724,              0.0005348,              0.0005348,              0.0005348
                     76,                 1.2594,                0.71567,                 1.3169,                 0.8998,                0.87486,                0.91074,                0.52491,                 1.4124,                0.70067,                 1.4628,               0.000515,               0.000515,               0.000515
                     77,                 1.2481,                0.71965,                 1.3095,                0.89128,                0.87932,                0.90947,                0.52309,                 1.4092,                0.70272,                 1.4639,              0.0004952,              0.0004952,              0.0004952
                     78,                  1.252,                0.72207,                 1.3108,                0.89588,                0.87716,                0.91448,                0.52284,                 1.4084,                0.69144,                 1.4664,              0.0004754,              0.0004754,              0.0004754
                     79,                 1.2515,                0.72001,                 1.3148,                0.90213,                0.87184,                0.91355,                0.52289,                 1.4075,                0.68434,                 1.4622,              0.0004556,              0.0004556,              0.0004556
                     80,                 1.2289,                0.71093,                 1.3094,                0.90577,                0.87028,                0.91314,                0.52564,                 1.4068,                0.69325,                 1.4654,              0.0004358,              0.0004358,              0.0004358
                     81,                 1.2324,                0.70786,                 1.3029,                0.90136,                 0.8748,                0.91144,                0.52039,                 1.4095,                0.69588,                 1.4652,               0.000416,               0.000416,               0.000416
                     82,                 1.2383,                0.71457,                 1.3066,                0.90085,                0.87543,                0.91421,                0.52343,                 1.4118,                 0.6967,                 1.4661,              0.0003962,              0.0003962,              0.0003962
                     83,                 1.2245,                0.69953,                 1.2982,                0.89311,                0.87698,                0.90934,                0.52336,                 1.4092,                0.69541,                 1.4611,              0.0003764,              0.0003764,              0.0003764
                     84,                 1.2198,                0.69951,                  1.298,                0.89953,                0.87659,                0.91498,                0.52326,                 1.4144,                0.69617,                 1.4653,              0.0003566,              0.0003566,              0.0003566
                     85,                 1.2272,                0.70164,                 1.3014,                0.90843,                0.87539,                0.91681,                0.52245,                 1.4145,                0.69968,                 1.4665,              0.0003368,              0.0003368,              0.0003368
                     86,                 1.2167,                0.69739,                 1.2995,                0.90273,                0.87659,                0.91507,                0.52226,                 1.4034,                0.68492,                  1.464,               0.000317,               0.000317,               0.000317
                     87,                 1.2064,                0.69185,                 1.2945,                0.89837,                 0.8812,                0.91407,                0.52236,                 1.4077,                 0.6887,                 1.4641,              0.0002972,              0.0002972,              0.0002972
                     88,                 1.2078,                0.69031,                 1.2899,                0.90229,                0.87716,                0.91298,                0.52402,                 1.4137,                0.68982,                 1.4647,              0.0002774,              0.0002774,              0.0002774
                     89,                  1.206,                 0.6885,                 1.2878,                0.90136,                0.88531,                0.91502,                0.52304,                 1.4163,                0.69005,                 1.4657,              0.0002576,              0.0002576,              0.0002576
                     90,                  1.204,                0.68671,                  1.285,                0.90199,                 0.8812,                0.91511,                0.52268,                  1.415,                0.69161,                 1.4717,              0.0002378,              0.0002378,              0.0002378
                     91,                 1.1875,                 0.5714,                  1.252,                0.90284,                0.88005,                0.91526,                0.52241,                 1.4181,                0.68632,                 1.4737,               0.000218,               0.000218,               0.000218
                     92,                 1.1695,                0.55816,                 1.2391,                0.89569,                 0.8812,                0.91214,                0.52289,                 1.4179,                 0.6887,                 1.4775,              0.0001982,              0.0001982,              0.0001982
                     93,                 1.1633,                0.55557,                   1.24,                0.89896,                0.88248,                0.91255,                0.52434,                 1.4169,                0.68427,                 1.4778,              0.0001784,              0.0001784,              0.0001784
                     94,                  1.157,                0.55155,                   1.23,                0.90068,                0.88235,                0.91352,                0.52545,                 1.4181,                0.69207,                 1.4788,              0.0001586,              0.0001586,              0.0001586
                     95,                 1.1528,                0.55111,                 1.2299,                0.90027,                0.88005,                 0.9111,                 0.5255,                 1.4174,                0.69168,                  1.479,              0.0001388,              0.0001388,              0.0001388
                     96,                 1.1456,                0.54117,                 1.2253,                 0.9041,                0.88466,                0.91408,                0.52476,                 1.4173,                0.69326,                 1.4797,               0.000119,               0.000119,               0.000119
                     97,                 1.1422,                0.54137,                 1.2233,                0.90838,                0.87255,                0.91343,                0.52332,                 1.4142,                0.68845,                 1.4773,               9.92e-05,               9.92e-05,               9.92e-05
                     98,                  1.138,                0.53857,                 1.2203,                0.90534,                0.88062,                0.91457,                0.52293,                 1.4143,                0.68872,                 1.4773,               7.94e-05,               7.94e-05,               7.94e-05
                     99,                 1.1334,                0.53977,                 1.2202,                0.90471,                0.88158,                0.91388,                0.52302,                 1.4132,                0.68656,                 1.4769,               5.96e-05,               5.96e-05,               5.96e-05
                    100,                 1.1338,                0.53813,                 1.2168,                0.90316,                0.88235,                0.91377,                0.52422,                 1.4128,                0.68629,                 1.4773,               3.98e-05,               3.98e-05,               3.98e-05
